"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CB_I";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
2016;"MUNICIPIO";230200;145;2502;5;13;132;5;27;44;14;42;83;62;8;0;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230205;92;2502;1;8;84;4;13;32;9;26;59;33;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230210;236;2502;7;35;201;12;40;77;15;57;143;93;8;0;6;5;1;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230220;313;2502;13;30;283;9;48;102;55;69;178;135;9;0;6;5;1;0;0;0;0;4;0;2;0;1;0;0;1;1;0;0;0;0;0;0;0
2016;"MUNICIPIO";230230;174;2502;10;22;152;6;30;53;13;50;101;73;8;0;4;3;1;0;2;0;0;2;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0
2016;"MUNICIPIO";230240;368;2502;17;50;318;15;81;114;26;82;214;154;18;0;5;4;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230250;295;2502;9;49;246;7;45;87;34;73;162;133;19;0;13;10;3;0;1;0;0;11;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0
2016;"MUNICIPIO";230260;353;2502;37;50;303;12;38;119;40;94;200;152;20;0;10;8;2;0;1;0;0;9;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0
2016;"MUNICIPIO";230270;220;2502;8;33;187;5;33;60;34;55;131;89;8;0;6;4;2;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230280;527;2502;6;51;476;26;86;133;52;179;300;227;16;0;13;8;5;1;3;0;0;6;0;3;3;0;0;0;0;3;3;0;2;0;0;0;0
2016;"MUNICIPIO";230290;129;2502;1;14;115;2;14;35;19;45;78;51;1;0;3;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230300;116;2502;2;13;103;6;20;28;11;38;78;38;4;0;6;3;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230310;118;2502;2;12;106;2;16;33;26;29;62;56;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230320;171;2502;1;21;150;9;21;61;16;43;92;79;5;0;3;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230330;124;2502;3;15;109;2;22;30;13;42;65;59;4;0;3;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230340;99;2502;4;16;83;2;16;38;6;21;59;40;6;0;3;1;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230350;397;2502;15;57;340;2;74;126;61;77;236;161;13;0;8;5;3;0;3;0;0;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230360;83;2502;6;11;72;2;16;36;10;8;42;41;3;0;2;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230365;60;2502;2;6;54;5;8;22;5;14;30;30;5;0;3;2;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230370;1786;2502;116;351;1435;71;280;408;216;460;1052;734;118;0;53;35;18;0;10;1;0;29;0;7;3;0;0;4;0;7;6;0;1;1;4;1;0
2016;"MUNICIPIO";230380;178;2502;4;17;161;10;28;59;23;41;102;76;5;0;3;2;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230390;86;2502;2;9;77;4;14;24;7;28;41;45;4;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230393;61;2502;3;9;52;5;13;19;1;14;38;23;1;0;3;1;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230395;127;2502;3;26;101;2;16;39;9;35;77;50;8;0;5;3;2;0;1;0;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230400;140;2502;9;22;118;7;24;29;14;44;91;49;6;0;6;3;3;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230410;579;2502;7;74;505;21;93;144;73;174;325;253;25;0;21;14;7;0;4;0;0;10;1;2;0;0;0;1;1;1;1;0;0;0;0;0;1
2016;"MUNICIPIO";230420;856;2502;48;91;765;30;126;250;112;247;489;367;39;0;32;24;8;0;6;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230423;106;2502;5;18;88;5;10;33;13;27;58;48;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230425;137;2502;10;15;122;3;17;46;13;43;75;62;5;0;3;2;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230426;73;2502;4;9;64;2;9;27;11;15;35;38;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230427;32;2502;1;5;27;0;6;9;3;9;17;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230428;270;2502;9;67;203;15;51;59;26;52;168;102;16;0;5;5;0;0;3;0;0;2;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0
2016;"MUNICIPIO";230430;135;2502;5;14;121;5;32;36;16;32;75;60;7;0;3;3;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230435;125;2502;5;21;104;10;17;19;15;43;72;53;5;0;4;2;2;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230440;15376;2502;761;2373;13003;766;2860;3288;1842;4247;8320;7051;784;0;418;296;122;6;107;1;0;194;0;30;6;0;0;15;9;21;19;0;4;4;8;0;3
2016;"MUNICIPIO";230445;78;2502;1;9;69;6;13;30;6;14;44;34;4;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230450;100;2502;2;10;90;10;14;32;15;19;62;38;5;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230460;47;2502;1;6;41;1;5;20;5;10;28;19;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230465;82;2502;0;7;75;5;9;31;12;18;43;39;2;0;2;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230470;299;2502;20;32;267;10;44;80;57;76;154;145;17;0;19;15;4;0;3;0;0;15;0;2;1;0;0;0;1;1;0;1;0;0;0;0;0
2016;"MUNICIPIO";230480;29;2502;1;1;28;3;3;8;3;11;14;15;1;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230490;64;2502;5;3;61;3;15;16;8;19;34;30;4;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0
2016;"MUNICIPIO";230495;140;2502;7;26;114;4;23;43;12;32;87;53;7;0;3;2;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230500;264;2502;6;28;236;7;45;82;30;72;156;108;5;0;10;6;4;0;3;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230510;31;2502;2;3;28;1;4;10;4;9;13;18;3;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
2016;"MUNICIPIO";230520;165;2502;5;13;152;5;20;65;20;42;86;79;6;0;2;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230523;314;2502;16;78;236;11;57;67;27;74;196;118;18;0;10;8;2;0;2;0;0;6;0;2;0;0;0;1;1;1;1;0;0;1;0;0;0
2016;"MUNICIPIO";230526;80;2502;4;6;74;3;6;15;12;38;47;33;5;0;9;7;2;0;1;0;0;8;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0
2016;"MUNICIPIO";230530;165;2502;6;15;150;3;28;59;15;45;90;75;6;0;6;5;1;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230533;72;2502;3;17;55;3;8;23;3;18;52;20;7;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230535;105;2502;7;12;93;3;27;24;12;27;53;52;9;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230540;443;2502;19;66;377;15;57;157;48;100;268;175;28;0;10;6;4;0;1;0;0;5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
