"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CB_I";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
2016;"MUNICIPIO";230800;240;2502;13;24;216;14;49;73;24;56;138;102;11;0;4;4;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230810;247;2502;11;24;223;14;37;61;37;74;137;110;11;0;7;4;3;0;2;0;0;3;0;3;1;0;0;1;1;2;2;0;1;0;0;0;1
2016;"MUNICIPIO";230820;84;2502;3;8;76;1;11;26;12;26;48;36;1;0;6;3;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230830;156;2502;18;13;143;9;21;55;19;39;80;76;13;0;3;2;1;0;0;0;0;2;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
2016;"MUNICIPIO";230835;98;2502;8;18;80;2;16;34;3;25;56;42;8;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230837;67;2502;1;10;57;2;6;22;14;13;44;23;0;0;3;3;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230840;230;2502;11;33;197;10;46;58;29;54;140;90;12;0;9;7;2;0;3;0;0;5;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
2016;"MUNICIPIO";230850;333;2502;22;32;301;4;55;129;65;48;204;129;9;0;7;3;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230860;116;2502;2;12;104;4;15;40;8;37;67;49;3;0;7;5;2;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230870;415;2502;18;90;325;7;69;136;27;86;266;148;15;0;4;4;0;0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
2016;"MUNICIPIO";230880;44;2502;0;5;39;2;10;6;9;12;32;12;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230890;115;2502;2;18;97;3;16;36;17;25;80;35;4;0;5;4;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230900;109;2502;0;5;104;6;18;27;26;27;57;52;2;0;2;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230910;52;2502;2;9;43;3;7;14;9;10;35;17;1;0;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230920;111;2502;5;16;95;6;19;23;13;34;69;42;2;0;6;5;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230930;257;2502;1;27;230;15;41;97;28;49;139;118;3;0;3;1;2;0;0;0;0;3;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
2016;"MUNICIPIO";230940;185;2502;7;15;170;2;28;85;16;39;112;73;8;0;5;5;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230945;162;2502;1;33;129;4;29;46;21;29;104;58;5;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230950;193;2502;17;27;166;6;31;68;13;48;97;96;13;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230960;354;2502;7;98;256;13;35;74;35;99;215;139;22;0;8;6;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230970;332;2502;15;74;258;11;51;87;24;85;184;148;24;0;14;12;2;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230980;81;2502;4;18;63;3;14;19;6;21;47;34;2;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0
2016;"MUNICIPIO";230990;55;2502;3;9;46;3;12;14;3;14;23;32;5;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231000;55;2502;0;6;49;1;13;17;2;16;28;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231010;51;2502;1;5;46;1;5;22;2;16;29;22;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231020;208;2502;3;33;175;4;34;68;24;45;130;78;11;0;11;9;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231025;201;2502;12;45;156;2;37;45;13;59;128;73;9;0;3;1;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231030;213;2502;17;33;180;4;37;61;14;64;126;87;10;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231040;68;2502;0;9;59;2;8;26;3;20;41;27;6;0;3;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231050;302;2502;7;66;236;15;40;91;26;64;188;114;14;0;5;3;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231060;56;2502;3;7;49;2;10;16;6;15;37;19;0;0;3;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231070;223;2502;5;29;194;12;35;40;36;71;130;93;11;0;5;4;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231080;113;2502;6;10;103;1;17;45;11;29;65;48;3;0;5;5;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231085;159;2502;2;21;138;4;20;34;17;63;84;75;7;0;4;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231090;120;2502;4;14;106;5;16;40;12;33;74;46;3;0;3;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231095;67;2502;3;7;60;4;13;23;7;13;41;26;2;0;2;2;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0
2016;"MUNICIPIO";231100;78;2502;0;9;69;1;11;27;6;24;44;34;3;0;2;1;1;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231110;86;2502;3;8;78;4;13;29;9;23;47;38;3;0;6;1;5;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231120;74;2502;2;8;66;2;3;33;11;17;39;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
